Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Lantai,Tahun Dibangun,Sertifikat,Nama Agen,Tanggal Posting,Link
"DIJUAL UNIT PREMIUM 2 BEDROOM 51 SQM 
CITY VIEW BSD | AKSES AEON |",Rp 860Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,22,2022,SHM,Rinif Sky BSD,27 Feb 2026,https://www.lamudi.co.id/properti/41032-73-c3af08d84dac-b863-19c9e18-a8fc-7c97
Dijual Apartement semi Furnished Condominium Green Bay Pluit,Rp 935Jt,"RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,77 m²,1,,,Homeland Property,21 Nov 2024,https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-apartement-semi-furnished-condominium-green-173217452650/
Dijual 2BR - 1BR Furnished Apartment Green Bay Pluit,Rp 390Jt,"RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,37 m²,1,,,Homeland Property,21 Nov 2024,https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-2br-1br-furnished-apartment-green-bay-pluit-173217471445/
DI Jual Apartement Greenbay Bay Pluit 2BR,"Rp 1,30M","RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,,18,,,Homeland Property,3 Feb 2026,https://www.lamudi.co.id/properti/41032-73-d239dfea3a27-22f5-19c22fc-b0c4-7443
"Apartemen Mewah 3 Kamar – Fully Furnished | Disewakan | Casa Domaine, CBD Jakarta","Rp 8,50M","RW 09, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,3 Kamar Mandi,148 m²,1,2019,,Casa Domaine Residences,10 Des 2025,https://www.lamudi.co.id/properti/41032-73-83434fde7299-44d9-19ac9f1-ab23-70d7
"Luxury 4 Bedroom Apartment – Fully Furnished | For Rent | Casa Domaine, CBD Jakarta",Rp 20M,"RW 05, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,4 Kamar Tidur,4 Kamar Mandi,296 m²,1,2019,SHM,Casa Domaine Residences,30 Mar 2026,https://www.lamudi.co.id/properti/41032-73-935000f1c832-eb75-19d3d16-bd60-75e3
Apartemen mewah di tengah Makassar,"Rp 3,80M","Maricaya Baru, Makassar, Makassar, Sulawesi Selatan",Makassar,Sulawesi Selatan,Apartemen,3 Kamar Tidur,3 Kamar Mandi,143 m²,7,,Strata,Dedy Century 21 Best Home,25 Apr 2026,https://www.lamudi.co.id/properti/41032-73-2df4c3dc8735-1370-19dc404-bfc6-77cc
Aprtement murah di lokasi strategis,Rp 870Jt,"RW 04, Cibubur, Ciracas, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,48 m²,20,,,Dome Real Estate,14 Agu 2025,https://www.lamudi.co.id/jual/jawa-barat/bekasi/aprtement-murah-di-lokasi-strategis-175511849064/
Dijual Cepat Apartment Meikarta Northview District 1. hub 08131081----,Rp 400Jt,"Meikarta, Jayamukti, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,48 m²,,,,ariyusman-arief,18 Okt 2025,https://www.lamudi.co.id/properti/41032-73-f155e7cee260-d058-199f57e-b799-75e4
Dijual 2BR Sky House BSD City – Lokasi Premium Dekat AEON,Rp 930Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,20,2023,SHM,Rinif Sky BSD,2 Jun 2026,https://www.lamudi.co.id/properti/41032-73-742c7a4227b0-84ba-19e8815-a8a9-73d8
