Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Nama Agen,Link
Dijual Cepat Apartemen Full Furnish The Ayoma Serpong Tangerang,950000000.0,"Rawa Buntu, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,1.0,48.0,Linktown Expert - Santi,https://www.lamudi.co.id/properti/41032-73-ba01d26ccc82-3de3-19e913c-bbe3-70e5
Dijual apartement  2 kamar tidur di Sentra Primer Timur cakung Jakarta Timur,350000000.0,"RW 14, Pulo Gebang, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,36.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-d11e37cf4feb-ce0f-19c7eae-8d14-7b7f
Jual Murah Apartemen The Mansion Bougenville di Kemayoran Jakarta Utara – 1 BR Full Furnished,450000000.0,"PPK Kemayoran, Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,29.0,ACE Realty,https://www.lamudi.co.id/properti/41032-73-2ee91852882f-ae4b-19d3a51-a6c9-70a0
Jual Cepat Apartment Studio Skyhouse BSD,450000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,25.0,We Pro,https://www.lamudi.co.id/jual/banten/tangerang-selatan/jual-cepat-apartment-studio-skyhouse-bsd-17415052211/
Best Price!!! Apartment Ayodhya 2BR Full Furnish di Tangerang,400000000.0,"Goldland Karawaci, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,40.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-930018132b32-937e-19c2c6f-a124-79e2
Jual Dan Sewa Apartment Bogor Velley Full Furnish Lokasi Bogor Nego Sampai Jadi,325000000.0,"Semplak, Bogor Barat, Bogor, Jawa Barat",Bogor,Jawa Barat,Apartemen,2.0,1.0,31.0,Linktown Expert - Ferdi,https://www.lamudi.co.id/properti/41032-73-4af26b35cb63-fa8b-19d9bb2-90e7-7d3e
"Apartemen Casa De Parco BSD 1BR, 1 Bedroom Full Furnushed",850000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,40.0,We Pro,https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-casa-de-parco-bsd-1br-1-bedroom-full-fur-175645262084/
Apartemen paviliun permata Surabaya- AP002ARB,245000000.0,"RW 01, Ketabang, Genteng, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,1.0,23.0,PROPTIC diamond,https://www.lamudi.co.id/properti/41032-73-19d7bdb74168-127-19e3ade-a6d1-766e
Apartemen 2BR The Accent Apartment Bintaro,1500000000.0,"CBD Bintaro Jaya, Bintaro Jaya, Pondok Aren, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,2.0,83.0,We Pro,https://www.lamudi.co.id/properti/41032-73-7fe2d9764f31-e5b2-19d0f39-90b9-7794
Jual Cepat Apartment Callia 2 BR Strategis di Jakarta,1250000000.0,"RW 16, Kayu Putih, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,62.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-7a2bc344aa55-79f9-19c1df8-bf48-7831
Dijual apartment bagus type studio view gunung Salak cimanggu Bogor,550000000.0,"Cibadak, Tanah Sareal, Bogor, Jawa Barat",Bogor,Jawa Barat,Apartemen,1.0,1.0,26.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-7a6cff6c3e4a-a0d9-19c6f17-a033-790a
Jual Apartemen Full Furnished Intermark BSD persis di exit tol pertama BSD,650000000.0,"Pondok So, Rawa Mekar Jaya, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,1.0,51.0,We Pro,https://www.lamudi.co.id/properti/41032-73-ceca2cb516d4-abb-19cad29-bd73-7421
Dijual Cepat Turun Harga Apartement Branz BSD,1300000000.0,"BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,52.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-a5eea3a0f0-768e-19dd7f1-8cb3-780e
"Best Deal! Luxury Apartment 1 Bed Branz BSD, View Aeon Mall, High Zone",1400000000.0,"BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Kondominium,1.0,1.0,56.0,We Pro,https://www.lamudi.co.id/jual/banten/tangerang-selatan/best-deal-luxury-apartment-1-bed-branz-bsd-view-ae-175851721564/
Dijual Apartement Kebagusan City Jakarta Selatan,780000000.0,"RW 02, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,44.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-42043d515b5f-f81b-19d7cb1-bcd6-7f04
Jual Apartemen Embarcadero Bintaro Tower Eastern Lantai 10 4 KT Furnish Incld Water Heater,1600000000.0,"Pondok Pucung, Pondok Aren, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,4.0,3.0,102.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-8af6ae08bee6-7ff7-19d2946-8b0c-7bf5
Jual Cepat BU Apartement Callia 2BR Furnish dan Strategis di Jakarta,958000000.0,"RW 16, Kayu Putih, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,72.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-26903e631687-f60f-19eb63c-a45f-742d
Jual Cepat Apartemen Eksklusif dan Strategis di Kensington Kelapa Gading,1300000000.0,"RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,31.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-c030f689f45e-304d-19dd445-89fa-7fde
Jual Apartement Tree Park City Tower Alphine Lantai 19 Full Furnished Dekat RS Primaya & Hotel Mercure,1100000000.0,"Ciakar Hilir, Cicalengka, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,53.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-9ac1b8eef88f-3ea2-19c79a3-b07b-7c23
Jual Apartemen Kensington Full Furnish Lt 16 Hadap Kolam Renang Nego,2650000000.0,"RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,3.0,101.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-ee6c2867f79e-a2a9-19cc27e-9d3b-70b5
Dijual apartment studio full furnish di Grand Kemala Lagoon Bekasi,520000000.0,"Bumi Satria Kencana, Lagoon, Jakasampurna, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,1.0,1.0,24.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-a39c871c82f7-2a2c-19c9977-8ff1-764d
LANGKA Apartemen Kemang Village 3 plus Maid Room Full Furnished baru,3000000000.0,"RW 06, Cipete Utara, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,2.0,132.0,We Pro,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/langka-apartemen-kemang-village-3-plus-maid-room-f-175725808363/
Dijual Apartemen Pejaten Park Residence Fully Furnished,1000000000.0,"RW 01, Ragunan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,40.0,We Pro,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartemen-pejaten-park-residence-fully-furn-173953646196/
"Best Deal Apartement Mewah Loft 3 BR Satu8 Residence, Bebas Banjir",3200000000.0,"RW 03, Kedoya Selatan, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Kondominium,3.0,3.0,178.0,We Pro,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/best-deal-apartement-mewah-loft-3-br-satu8-residen-172285471049/
Dijual Apartment BRANZ BSD 2BR Apartment 2 Kamar BSD City,1950000000.0,"Rawalele, Jombang, Ciputat, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,1.0,87.0,We Pro,https://www.lamudi.co.id/jual/banten/tangerang-selatan/dijual-apartment-branz-bsd-2br-apartment-2-kamar-b-17306831329/
Apartemen Studio siap huni lokasi strategis dekat dgn Mall Aeon dan tol,450000000.0,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,20.0,Vera - Prosperity Property,https://www.lamudi.co.id/properti/41032-73-e804b2565e75-e6dd-19a67ee-9270-7080
Jual Apartemen M Town Signature Tower Galaxy Full Furnished Hadap City Siap Huni,1000000000.0,"Goldland Karawaci, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,46.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-481402c312b9-735e-19c43db-8e00-71c3
Jual Apart Dibawah Pasaran Casa De Parco Tower Magnolia Full Furnished,525000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,40.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-7b2f37626105-56cc-19e01ee-a25f-7646
"Apartement Branz Bsd 3 BR Furnished Dekat Aeon, Tol, Ice, View Aeon",3600000000.0,"Lembang Sari, Rajeg, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Kondominium,4.0,3.0,115.0,We Pro,https://www.lamudi.co.id/jual/banten/tangerang/apartement-branz-bsd-3-br-furnished-dekat-aeon-tol-171214046485/
Jual Apartemen 2 Kamar Kebagusan City Jakarta Selatan Full Furnish,650000000.0,"RW 02, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,45.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-45e95a225edb-f016-19d765f-9f82-7ab2
Di jual apartment 1 kamar tidur semi furnish di The mansion kemayoran jakarta pusat,700000000.0,"RW 06, Kebon Kosong, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,31.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-c587de55ac10-74fd-19c55f7-8739-70de
"dijual cepat apartemen green lake sunter,2bedrooms,furnished lengkap,luas 42,sertifikat,hoek,,view danau,harga 555 juta nego",560000000.0,"RW 16, Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,42.0,East star property,https://www.lamudi.co.id/properti/41032-73-625ff332b611-97c-19db885-8baa-724c
Jual Apartement Eastern Green Of LRT City Siap Huni,520000000.0,"Toyogiri, Lambangsari, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,1.0,1.0,27.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-3739be1fade-bb51-19d76df-9ac1-7a9d
"Apartement 2 BR Depan Mrt Murah, Istana Harmoni Semi Furnished",995000000.0,"RW 05, Cideng, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,1.0,94.0,We Pro,https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/apartement-2-br-depan-mrt-murah-istana-harmoni-sem-171196499620/
Apartemen Amor Pakuwon City Mall Semi Furnish,415000000.0,"Pakuwon City, RW 03, Kejawen Putih Tambak, Mulyorejo, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,1.0,1.0,22.0,Galaxy Cbd,https://www.lamudi.co.id/properti/41032-73-dbd9e328c8f8-68ac-19ceb30-ba42-71e3
Dijual Cepat Apartement Furnish 2 BR di Greenbay Pluit Jakarta,625000000.0,"RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,49.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-56ea898c28a1-9c6d-19cb80c-b9d0-7b69
Nego Apartemen 3 Br Baru Greess di Avenue 88 Surabaya Barat,1900000000.0,"RW 03, Sono Kwijenan, Sukomanunggal, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,3.0,2.0,84.0,Linktown Center,https://www.lamudi.co.id/properti/41032-73-efe390fe9b71-2aaa-a8c12383-9006-4bd1
Jual Apartement Full Furnish Bintaro Icon,800000000.0,"Pondok Aren, Pondok Aren, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,1.0,1.0,36.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-aca23ab9694d-c37b-19d765c-b256-747f
Jual Apartement Grand Kamala Lagoon Tower Barclay South Furnish Studio Bagus,520000000.0,"Grand Kamala Lagoon, Lagoon, Jakasampurna, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,1.0,1.0,24.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-3619948ed941-6c8d-19e20ae-b616-7484
Jual Apartemen Green Pramuka Square Tower Pino Lt 26 Hadap Kolam Renang Furnish,400000000.0,"RW 09, Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,30.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-c14233c17d60-9058-19c2cd2-9ad2-7d76
Jual Apartemen B Residence BSD Full Furnished Hadap Aeon Mall Siap Huni,450000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,21.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-cff024e9fd90-1976-19c43d6-89c3-7d8b
Di jual Apartment 2 kamar tidur lokasi strategis di podomoro golf view cimanggis,380000000.0,"Podomoro Golf View, Bojong Nangka, Gunung Putri, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,2.0,1.0,28.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-bd39c6cd6d4a-267d-19c7596-a84f-77ea
Ss.3075 - Murah !! Dijual Apt. Paladian Park Luas 87 mtr Full Furnish Siap Huni tinggal masuk bawa koper,975000000.0,"RW 21, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,87.0,Thing Thing - ERA GADING,https://www.lamudi.co.id/properti/41032-73-694fca05da54-5e10-19daaaf-a83f-7802
380 Jutaan Dapet Apartement Studio LRT Sentul Studio Plus!,380000000.0,"Kadumanggu, Babakan Madang, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,1.0,1.0,27.0,Adnan Zahry,https://www.lamudi.co.id/jual/jawa-barat/bogor/termurah-apartement-studio-lrt-sentul-studio-plus-175611321094/
Dijual Kost Elite di Nusa Dua Taman Mumbul,7000000000.0,"Benoa, Kuta Selatan, Badung, Bali",Badung,Bali,Apartemen,21.0,21.0,750.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-87b197a8c96d-c5a-e32eb63b-83f0-4b16
Jual Apartemen Trans Park Cibubur Full Furnished Lantai 35 View Danau Cibubur / City Light Samping TSM Cibubur,500000000.0,"Sukatani, Depok, Jawa Barat",Depok,Jawa Barat,Apartemen,1.0,1.0,22.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-f2a94cd76cc7-2be4-19c891c-8696-768b
Di Jual apartement Full Furnish di Tokyo Riverside Tower Fuji di Tangerang,500000000.0,"Pantai Indah Kapuk 2, Salembaran, Kosambi, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,21.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-821e8b389986-e54e-19cc16b-b847-7b3a
Termurah Jual Apartemen 3BR  Full Furnish Kensington Summarecon Kelapa Gading,2650000000.0,"RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,3.0,122.0,Linktown Center,https://www.lamudi.co.id/properti/41032-73-fb5554dc9e2-47b9-19d2ffc-a5d9-748f
dijual apartement bagus 2 kamar tidur lokasi strategis di sky House alam Sutr,800000000.0,"Alam Sutera, Pinang, Tangerang, Banten",Tangerang,Banten,Apartemen,2.0,1.0,58.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-e8a1fc40cb49-8106-19c2bfa-bf70-7f54
Dijual Apartment Furnish Studio Siap Huni di Parahyangan Residence,550000000.0,"Hegarmanah, Cidadap, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,1.0,1.0,27.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-bb2a3fdb057a-81a8-19c89eb-a02d-7c27
Apartemen 2 Br Connecting Supermall Pakuwon di Apartemen Anderson,1250000000.0,"Pakuwon Indah, RW 09, Babatan, Wiyung, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,1.0,54.0,Linktown Center,https://www.lamudi.co.id/properti/41032-73-9e914a9038fe-9ca2-984739ad-abe2-4102
Jual Cepat Apartemen 2BR Siap Huni di Serpong Green View,375000000.0,"Apartement Akasa Serpong, Lengkong Gudang Timur, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,1.0,39.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-501a7a644742-c6a9-19cd0ef-b05b-72ff
dijual apartment full furnish 2 kamar tidur  di Aspen residence jakarta selatan,1600000000.0,"RW 01, Pondok Labu, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,69.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-bae5a9c6860e-d160-19c220d-bb30-7996
Dijual Apartemen BSD Marigold Navapark Full Furnish bisa Nego,3500000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,2.0,118.0,Linktown Expert - Ferdi,https://www.lamudi.co.id/properti/41032-73-384735c10ee7-99af-19e40c5-a0c3-7959
Dijual Cepat Apartment Siap Huni Furnish di Semesta Mahata Tanjung Barat,500000000.0,"RW 01, Lenteng Agung, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,21.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-4785ffd43023-edf7-19c8f53-b84e-7b1c
Dijual Apartemen Condominum Green Bay Pluit Full Furnish Nego,1450000000.0,"RW 05, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,77.0,Linktown Expert - Ferdi,https://www.lamudi.co.id/properti/41032-73-b0be5983b86f-27ef-19e4b7b-ae8f-7f81
Jual Apartemen Tamansari Iswara Cut Mutia Bekasi Full Furnish 2 KT City View,975000000.0,"Rawa Panjang, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,2.0,1.0,55.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-f71028d1bb85-7e0b-19c9877-b8cf-745a
Jual Apartemen Springlake Summarecon Bekasi Lt 10 2 KT Full Furnish Siap Huni,535000000.0,"Summarecon Bekasi, Rawa Bugel, Summarecon, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,2.0,1.0,41.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-865cbd303678-5272-19c40e9-8caf-7ae5
DIJUAL CEPAT! Apartemen Tokyo Riverside PIK 2 Studio Kosongan,240000000.0,"Pantai Indah Kapuk, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,21.0,LOT PROPERTY,https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-cepat-apartemen-tokyo-riverside-pik-2-studi-174288761770/
Jual Apartemen Pakuwon Bekasi Type Studio Masih Baru Incld Kitchen Set Conect ke Mall,750000000.0,"Pakuwon Mall, Rawa Panjang, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,1.0,1.0,28.0,Linktown Expert - Clarissa,https://www.lamudi.co.id/properti/41032-73-eddd6138aee2-4623-19c9869-b741-78c6
Dijual Cepat Apartment Furnish Siap Huni di Citra Living Jakarta,550000000.0,"RW 09, Kalideres, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,22.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-4c1eacace907-9a38-19c89d5-8564-77d8
Jual Luxury Primrose Condovilla Summarecon Bekasi,1750000000.0,"Summarecon Bekasi, Rawa Bugel, Margajaya, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Kondominium,4.0,3.0,91.0,Linktown Center,https://www.lamudi.co.id/properti/41032-73-565215361429-e803-19e4f88-9057-72d0
Dijual Apartement Latumenten Jakarta 2 Kamar Tidur,320000000.0,"RW 01, Jelambar Baru, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,32.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-a649ce73ec22-2026-19dbe47-acad-74f1
Dijual atau Disewakan Apartemen Sky House BSD,1100000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,1.0,68.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-b91d0ca77804-e53b-f1d4c525-8e31-420c
Jual Cepat Apartemen 2Bedroom Semi Furnish di Emerald Bintaro,735000000.0,"Parigi Lama, Pondok Aren, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,1.0,36.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-717b97b4fd91-f66f-19ce666-89ed-7668
Di Jual Apartement full furnish type studio lokasi strategis di belakang kampus UI Depok,450000000.0,"Kukusan, Beji, Depok, Jawa Barat",Depok,Jawa Barat,Apartemen,1.0,1.0,47.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-dd88c985806d-3d9e-19c8962-be09-76cf
Jual Cepat Apartemen Semi Furnish 2BR di Meikarta District 1,600000000.0,"Meikarta, Jayamukti, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,2.0,1.0,42.0,Linktown Expert - Andreas,https://www.lamudi.co.id/properti/41032-73-5ab3b2fa2303-e1a5-19d48b1-a376-70de
Dijual Apartemen Condominum Green Bay Pluit Semi furnished Nego,1150000000.0,"RW 05, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,77.0,Linktown Expert - Ferdi,https://www.lamudi.co.id/properti/41032-73-f79cb9b7ee95-ec38-19e4b24-a83b-7516
Full Furnish Siap Huni Nego Apartemen 2 Br di East Coast Surabaya Timur,375000000.0,"Pakuwon City, RW 08, Kalisari, Mulyorejo, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,1.0,2.0,36.0,Linktown Center,https://www.lamudi.co.id/properti/41032-73-d297909149a0-9f74-b009b8b1-8e8a-4882
Dijual Apartement Silktown Tanggerang Full Furnish Nego,550000000.0,"Sukarasa, Tangerang, Tangerang, Banten",Tangerang,Banten,Apartemen,1.0,1.0,21.0,Linktown Expert - Ferdi,https://www.lamudi.co.id/properti/41032-73-49cdd77fb5f0-d049-19d99c7-8231-78fb
Dijual Apartement Bella Tower Casa Grande Jakarta Selatan,6200000000.0,"RW 05, Menteng Dalam, Tebet, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,4.0,3.0,150.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-184803c8b14d-86f9-19dd275-a6d9-8028
Dijual apartment bagus type studio bonus AC di Transpark Cibubur,500000000.0,"RW 05, Pondok Ranggon, Cipayung, Jakarta Timur, Depok, Jawa Barat",Depok,Jawa Barat,Apartemen,1.0,1.0,19.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-c2ab7eeabdb2-f642-19c6518-8ad9-71e4
New Lounching Apartement Savyavasa Residence,8700000000.0,"Blok P, Pulo, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,131.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-c6b94af1ff08-28ce-e03752d2-8508-46fa
Dijual Apartement Aesthetic di Evenciio Depok,650000000.0,"Pondok Cina, Beji, Depok, Jawa Barat",Depok,Jawa Barat,Apartemen,1.0,1.0,21.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-179e7b35243a-a429-19d99ea-a951-7fda
Dijual Cepat Full Furnish Siap Huni Apartemen 2 Br di Gunawangsa Tidar,300000000.0,"RW 01, Petemon, Sawahan, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,1.0,41.0,Linktown Center,https://www.lamudi.co.id/properti/41032-73-6603dbaebb18-b07e-39c09bff-a2f2-481c
Dijual Apartement SkyHouse BSD Type Studio,650000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,20.0,Linktown Expert - Michel,https://www.lamudi.co.id/properti/41032-73-da99780948f3-ac97-44165853-ab8a-4a43
