Judul,Harga,Lokasi,Link
Apartemen Dijual di Curug Sangereng,Rp 989Jt,"Summarecon Serpong, Curug Sangereng, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-5c552384888e-7d5b-19bcf32-842b-7dd4
Apartemen Dijual di Kuningan,Rp 2M,"RW 01, Kuningan Timur, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-puri-imperium-174230557274/
Apartemen Dijual di Bangka,"Rp 3,70M","RW 05, Bangka, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-kemang-village-17448783729/
Apartemen Dijual di Bekasi Timur,Rp 530Jt,"Bulak Kapal, Margahayu, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-595491eadfc2-4918-19c3d87-b8a0-77d8
Apartemen Dijual di Kebon Kosong,Mencari,"RW 12, Kebon Kosong, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5f5f4ab81a1d-54d9-199f7c8-b8d1-7f93
Apartemen Dijual di Kuningan,"Rp 1,25M","RW 03, Pasar Manggis, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/di-jual-the-wave-coral-sand-2-kamar-dekat-lrt-rasu-172398862189/
Apartemen Dijual di Panakkukang,Rp 530Jt,"Bumi Tirta Nusantara III, Paccinang, Tello Baru, Panakkukang, Makassar, Sulawesi Selatan",https://www.lamudi.co.id/jual/sulawesi-selatan/makassar/dijual-cepat-apartemen-vida-view-2-kt-harga-6oo-ju-175420875316/
Apartemen Dijual di Kelapa Gading,"Rp 1,40M","RW 21, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-c89a5273f611-4e4-19daa2e-bea2-73c1
Apartemen Dijual di Cikarang Selatan,Rp 850Jt,"Bekasi International Industrial Estate, Sukaresmi, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-7cde3ee99e2b-b38a-19ce823-82ec-7213
Apartemen Dijual di Karawangpawitan,Rp 400Jt,"Purwadana, Karawang, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-1e73de4c055-3866-f0753374-83f3-4b97
Kondominium Dijual di Kalisari,Rp 188M,"Pakuwon City, RW 08, Kalisari, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-3edf7216a7cb-2eac-19da54c-aed3-7065
Apartemen Dijual di Cikarang Selatan,Rp 450Jt,"Bekasi International Industrial Estate, Sukaresmi, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-fa0015328080-85a-19ce4da-a1e7-7293
Apartemen Dijual di Bojong Jaya,Rp 2M,"Bojong Jaya, Karawaci, Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/dijual-apartemen-nyaman-dan-siap-huni-175689894067/
Apartemen Dijual di Karet Tengsin,Rp 950Jt,"RW 03, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/apartemen-batavia-174401565193/
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,10M","Babakan, BSD City, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-roseville-bsd-174244169618/
Apartemen Dijual di Bintaro,Rp 7M,"RW 01, Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartemen-mewah-accent-bintaro-174845121315/
Apartemen Dijual di Cilincing,"Rp 3,50M","Kawasan Industri dan Peti Kemas, Cilincing, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-6dc6137d7055-84c6-19cff28-86f2-75d5
Apartemen Dijual di Menteng Dalam,Rp 2M,"RW 01, Menteng Dalam, Tebet, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-818495315e2c-f000-19ec5a9-9349-770e
